"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"3538758","21156481210000012001000000U3","AEROLINEAS DE TEHUACAN","AEROLINEAS DE TEHUACAN S DE RL DE CV","481210","Transporte aéreo no regular","11 a 30 personas","AVENIDA","HEROES DE LA INDEPENDENCIA","CALLE","17 ORIENTE","CALLE","NINGUNO","CALLE","NINGUNO","901",,,,,,"COLONIA","MIGUEL HIDALGO",,,,"75790","21","PUEBLA","156","Tehuacán","0001","Tehuacán","1177","001",,"ROSAMARIA_GARCIA@ELCALVARIO.COM.MX",,"Fijo","18.45003973","-97.39287878","2010-07"
"9659622","21156485210001081000000000U3","AGENCIA DE VIAJES SMART SENDER",,"487110","Transporte turístico por tierra","0 a 5 personas","CALLE","2 NORTE","AVENIDA","INDEPENDENCIA PONIENTE","PRIVADA","NINGUNO","AVENIDA","REFORMA NORTE","113",,,,,,"COLONIA","CENTRO",,,,"75700","21","PUEBLA","156","Tehuacán","0001","Tehuacán","0041","025",,,,"Fijo","18.46374582","-97.39643084","2024-11"
"6161105","21156485111000092001000000U1","ALIANZA DEL TRANSPORTE DE TEHUACAN Y SU REGION",,"485111","Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija","11 a 30 personas","CALLE","CAOBA","CALLE","10 ORIENTE","CALLE","12 ORIENTE","CALLE","PINO","1017",,,,"0",,"COLONIA","SEGUNDA SECCION DEL VALLE",,,,"75740","21","PUEBLA","156","Tehuacán","0001","Tehuacán","086A","017",,,,"Fijo","18.47270511","-97.37156416","2010-07"
"9241746","21156485210000951000040650S8","AUTO TRANSPORTE GARCIA S .A DE C.V","TRANSPORTE GARCIA SA DE CV","485210","Transporte colectivo foráneo de pasajeros de ruta fija","0 a 5 personas","CALLE","JOSEFA ORTIZ DE DOMINGUEZ","CALLE","AMADO NERVO","PRIVADA","JOSEFA ORTIZ DE DOMINGUEZ","CALLE","7 ORIENTE","0","SN",,,"0",,"COLONIA","LA PURISIMA",,,"SN","75790","21","PUEBLA","156","Tehuacán","0001","Tehuacán","0569","034",,,,"Fijo","18.45732737","-97.38644935","2020-04"
"9278740","21156485210000991000000000U4","AUTOBUSES ANGELES AZULES ",,"485210","Transporte colectivo foráneo de pasajeros de ruta fija","6 a 10 personas","CALLE","10","AVENIDA","CRISTOBAL COLON","CALLE","SIETE","CALLE","8","0","SN",,,,,"FRACCIONAMIENTO","SANTA MARIA",,,,"75857","21","PUEBLA","156","Tehuacán","0001","Tehuacán","0380","026",,,,"Fijo","18.43822252","-97.40647593","2020-11"
"10101229","21156485111000551000000000S6","AUTOBUSES COSTA DE ORO GUADALAJARA MAZATLAN TIJUANA",,"485111","Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija","0 a 5 personas","CALLE","5 ORIENTE","CALLE","7 SUR","CALLE","GENERAL VICENTE GUERRERO","CALLE","NOGAL","524",,,,,,"COLONIA","NICOLAS BRAVO",,,,"75700","21","PUEBLA","156","Tehuacán","0001","Tehuacán","0605","036","2381218399",,,"Fijo","18.45856051","-97.38814271","2024-11"
"3402345","21156485210000873001000000U4","AUTOBUSES INTEGRADOS TLACOTEPEC-TEHUACAN","CELESTINO RODRIGUEZ CONTRERAS SA DE CV","485210","Transporte colectivo foráneo de pasajeros de ruta fija","31 a 50 personas","CALLE","5 ORIENTE","CALLE","PRIVADA DE LA 7 SUR","CALLE","AMADO NERVO","ANDADOR","9","0","SN",,,"0",,"FRACCIONAMIENTO","LA PURISIMA",,,,"75784","21","PUEBLA","156","Tehuacán","0001","Tehuacán","0569","004",,"RODRIFER07@GMAIL.COM",,"Fijo","18.45855687","-97.38631414","2014-12"
"6160700","21156485111000123001000000U4","AUTOBUSES TEHUACAN, COXCATLAN TEOTITLAN SA DE CV",,"485210","Transporte colectivo foráneo de pasajeros de ruta fija","51 a 100 personas","AVENIDA","INDEPENDENCIA ORIENTE","CALLE","7 NORTE","CALLE","5 NORTE","CALLE","NINGUNO","511",,,,,,"COLONIA","CENTRO",,,,"75700","21","PUEBLA","156","Tehuacán","0001","Tehuacán","0075","003",,"THECOXTEO511@GMAIL.COM",,"Fijo","18.4628926","-97.38818209","2010-07"
"3401052","21156485210000931001000000U0","AUTOBUSES TEHUACAN-COYOMEAPAM",,"485111","Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija","6 a 10 personas","CALLE","7 SUR","CALLE","7 ORIENTE","CALLE","9 ORIENTE","CALLE","9 SUR","713",,,,,,"COLONIA","NICOLAS BRAVO",,,,"75790","21","PUEBLA","156","Tehuacán","0001","Tehuacán","0605","020",,,,"Fijo","18.45564127","-97.38720897","2014-12"
"6160699","21156485111000113001000000U5","AUTOBUSES TRES ESTRELLAS DE TEHUACAN","AUTOBUSES TRES ESTRELLAS DE TEHUACAN SA DE CV","485111","Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija","6 a 10 personas","CALLE","38 PONIENTE","AVENIDA","JOSE GARCI CRESPO","CALLE","PRIVADA SAN JOSE","CALLE","NINGUNO","1227",,,,,,"COLONIA","EL TEPEYAC",,,,,"21","PUEBLA","156","Tehuacán","0001","Tehuacán","1497","016",,"COOP3ESTRELLAS@PRODIGY.NET.MX",,"Fijo","18.49028003","-97.40409808","2010-07"
